typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20230101","2023","52","2023","251","FRA","France","X","Export","392","JPN","Japan","0","W00","World","H6","HS","true","8479","Machinery and mechanical appliances; having individual functions, n.e.c. in this chapter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","295638.003","true","0","false",,"21642386.052","21642386.052","6","false","true",
"C","A","20230101","2023","52","2023","251","FRA","France","X","Export","392","JPN","Japan","0","W00","World","H6","HS","true","8486","Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays; machines & apparatus specified in note 11 (C) to this Chapter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","10785","false","0","false",,"6273685.155","6273685.155","2","false","true",
"C","A","20240101","2024","52","2024","251","FRA","France","X","Export","392","JPN","Japan","0","W00","World","H6","HS","true","8479","Machinery and mechanical appliances; having individual functions, n.e.c. in this chapter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","234892.89","true","0","false",,"16299788.153","16299788.153","4","false","true",
"C","A","20240101","2024","52","2024","251","FRA","France","X","Export","392","JPN","Japan","0","W00","World","H6","HS","true","8486","Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays; machines & apparatus specified in note 11 (C) to this Chapter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","10154","false","0","false",,"5513070.237","5513070.237","2","false","true",
"C","A","20240101","2024","52","2024","251","FRA","France","X","Export","392","JPN","Japan","0","W00","World","H6","HS","true","8517","Telephone sets, including smartphones and other telephones for cellular/wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","23683.971","true","0","false",,"16805822.665","16805822.665","6","false","true",
"C","A","20240101","2024","52","2024","251","FRA","France","X","Export","392","JPN","Japan","0","W00","World","H6","HS","true","8541","Semiconductor devices (e.g. diodes, transistors, semiconductor based transducers); including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED) assembled with other LEDs or not, mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","81171.064","true","0","false",,"5002712.697","5002712.697","4","false","true",
"C","A","20240101","2024","52","2024","251","FRA","France","X","Export","392","JPN","Japan","0","W00","World","H6","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","3526.422","true","0","false",,"9542038.835","9542038.835","6","false","true",
"C","A","20250101","2025","52","2025","251","FRA","France","X","Export","392","JPN","Japan","0","W00","World","H6","HS","true","8479","Machinery and mechanical appliances; having individual functions, n.e.c. in this chapter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","267160.493","true","0","false",,"25621107.544","25621107.544","6","false","true",
"C","A","20250101","2025","52","2025","251","FRA","France","X","Export","392","JPN","Japan","0","W00","World","H6","HS","true","8486","Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays; machines & apparatus specified in note 11 (C) to this Chapter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","16744","false","0","false",,"10356135.188","10356135.188","2","false","true",
"C","A","20250101","2025","52","2025","251","FRA","France","X","Export","392","JPN","Japan","0","W00","World","H6","HS","true","8517","Telephone sets, including smartphones and other telephones for cellular/wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","21459.931","true","0","false",,"13134448.971","13134448.971","4","false","true",
